,ligand,receptor,species,score
SEMA3F_PLXNA3,SEMA3F,PLXNA3,Human,1
SEMA3F_PLXNA1,SEMA3F,PLXNA1,Human,1
SEMA3F_NRP1,SEMA3F,NRP1,Human,1
SEMA3F_NRP2,SEMA3F,NRP2,Human,1
HEBP1_ADRA2A,HEBP1,ADRA2A,Human,1
DCN_MET,DCN,MET,Human,1
GRN_TNFRSF1A,GRN,TNFRSF1A,Human,1
GRN_SORT1,GRN,SORT1,Human,1
GRN_TNFRSF1B,GRN,TNFRSF1B,Human,1
ICAM3_ITGAL,ICAM3,ITGAL,Human,1
ICAM3_ITGB2,ICAM3,ITGB2,Human,1
ICAM3_CD209,ICAM3,CD209,Human,1
CEACAM1_CD209,CEACAM1,CD209,Human,1
EFNB1_EPHB6,EFNB1,EPHB6,Human,1
EFNB1_EPHB4,EFNB1,EPHB4,Human,1
EFNB1_ERBB2,EFNB1,ERBB2,Human,1
EFNB1_EPHB3,EFNB1,EPHB3,Human,1
EFNB1_EPHB2,EFNB1,EPHB2,Human,1
SEMA4G_PLXNB2,SEMA4G,PLXNB2,Human,1
VCL_ITGB5,VCL,ITGB5,Human,1
EFNA2_EPHA10,EFNA2,EPHA10,Human,1
EFNA2_EPHA3,EFNA2,EPHA3,Human,1
EFNA2_EPHA1,EFNA2,EPHA1,Human,1
EFNA2_EPHA2,EFNA2,EPHA2,Human,1
MIF_CXCR4,MIF,CXCR4,Human,1
MIF_CD44,MIF,CD44,Human,1
LGALS1_ITGB1,LGALS1,ITGB1,Human,1
LGALS1_PTPRC,LGALS1,PTPRC,Human,1
GZMB_IGF2R,GZMB,IGF2R,Human,1
TIMP1_FGFR2,TIMP1,FGFR2,Human,1
TIMP1_CD63,TIMP1,CD63,Human,1
MMP2_PECAM1,MMP2,PECAM1,Human,1
MMP2_SDC2,MMP2,SDC2,Human,1
MMP2_FGFR1,MMP2,FGFR1,Human,1
CCL22_DPP4,CCL22,DPP4,Human,1
PLAT_LRP1,PLAT,LRP1,Human,1
PLAT_ITGB2,PLAT,ITGB2,Human,1
TGFB1_ENG,TGFB1,ENG,Human,1
TGFB1_SMAD3,TGFB1,SMAD3,Human,1
TGFB1_TGFBR2,TGFB1,TGFBR2,Human,1
TGFB1_TGFBR1,TGFB1,TGFBR1,Human,1
TGFB1_ACVRL1,TGFB1,ACVRL1,Human,1
TGFB1_ITGB6,TGFB1,ITGB6,Human,1
TGFB1_ITGAV,TGFB1,ITGAV,Human,1
TGFB1_ITGB1,TGFB1,ITGB1,Human,1
TGFB1_CAV1,TGFB1,CAV1,Human,1
TGFB1_SDC2,TGFB1,SDC2,Human,1
TGFB1_ITGB8,TGFB1,ITGB8,Human,1
TGFB1_CXCR4,TGFB1,CXCR4,Human,1
TGFB1_ITGB5,TGFB1,ITGB5,Human,1
COMP_ITGB1,COMP,ITGB1,Human,1
COMP_CD36,COMP,CD36,Human,1
HGF_CD44,HGF,CD44,Human,1
HGF_SDC1,HGF,SDC1,Human,1
HGF_ITGB1,HGF,ITGB1,Human,1
HGF_MET,HGF,MET,Human,1
HGF_SDC2,HGF,SDC2,Human,1
HGF_NRP1,HGF,NRP1,Human,1
HGF_ST14,HGF,ST14,Human,1
LAMB1_ITGA7,LAMB1,ITGA7,Human,1
LAMB1_ITGAV,LAMB1,ITGAV,Human,1
LAMB1_ITGB1,LAMB1,ITGB1,Human,1
LAMB1_ITGA6,LAMB1,ITGA6,Human,1
LAMB1_ITGA1,LAMB1,ITGA1,Human,1
LAMB1_ITGA2,LAMB1,ITGA2,Human,1
PDAP1_PDGFRB,PDAP1,PDGFRB,Human,1
SERPINE1_PLAUR,SERPINE1,PLAUR,Human,1
SERPINE1_ITGAV,SERPINE1,ITGAV,Human,1
SERPINE1_LRP1,SERPINE1,LRP1,Human,1
SERPINE1_ITGB5,SERPINE1,ITGB5,Human,1
C5_ADRA2A,C5,ADRA2A,Human,1
C5_C5AR2,C5,C5AR2,Human,1
C5_C5AR1,C5,C5AR1,Human,1
CCL2_CCR10,CCL2,CCR10,Human,1
CCL2_ACKR1,CCL2,ACKR1,Human,1
CCL2_ACKR4,CCL2,ACKR4,Human,1
COL1A1_ITGA5,COL1A1,ITGA5,Human,1
COL1A1_CD93,COL1A1,CD93,Human,1
COL1A1_FLT4,COL1A1,FLT4,Human,1
COL1A1_CD36,COL1A1,CD36,Human,1
